;;Matriz;;Filial 1;;Filial 2;;Filial3;;Link Internet
;;26;;8;;8;;8;;
APPs;LB (kbps);Qtde;LB;Qtde;LB;Qtde;LB;Qtde;LB;
;;;;;;;;;;
;;;0;;0;;0;8;0;0
Zabbix;100;3;300;8;800;8;800;8;800;2700
Web;5000;26;130000;8;40000;8;40000;8;40000;250000
Microsoft Outlook;500;26;13000;8;4000;8;4000;8;4000;25000
Microsoft OneDrive;500;26;13000;8;4000;8;4000;8;4000;25000
Microsoft Teams;2500;26;65000;8;20000;8;20000;8;20000;125000
Microsoft Power Apps;500;26;13000;8;4000;8;4000;8;4000;25000
Microsoft Power Automate;500;26;13000;8;4000;8;4000;8;4000;25000
Microsoft Power BI;500;26;13000;8;4000;8;4000;8;4000;25000
Microsoft Defender;100;26;2600;8;800;8;800;8;800;5000
Microsoft Access;500;26;13000;8;4000;8;4000;8;4000;25000
SAP;400;12;4800;3;1200;3;1200;3;1200;8400
Bankline;100;26;2600;8;800;8;800;8;800;5000
;;;;Total;44800;Total;44800;Total;44800;
;;;;M-F1;;M-F2;;M-F3;;252700
;;;;;;;;;;
